Data Provided By MyFoodData.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Click ""File"" then ""Download as"" or ""Select All and Copy Paste"" to get the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you have a google account click ""File"" then ""Make a Copy"" to edit your own copy of the data. ",,,,"All Serving Sizes are 100 Grams. See the ""Read Me"" tab for more information. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Name,Food Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg),Added Sugar (g),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,Trans Fatty Acids (g),Soluble Fiber (g),Insoluble Fiber (g),Sucrose (g),Glucose (Dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Galactose (g),Starch (g),Total sugar alcohols (g),"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)",Manganese (mg),"Selenium, Se (mcg)","Fluoride, F (mcg)",Molybdenum (mcg),Chlorine (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Vitamin B6 (mg),Biotin (B7) (mcg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Folate DFE (mcg),Choline (mg),Betaine (mg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),Vitamin D2 (ergocalciferol) (mcg),Vitamin D3 (cholecalciferol) (mcg),Vitamin D (IU) (IU),Vitamin K (mcg),Dihydrophylloquinone (mcg),Menaquinone-4 (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)","18:3 n-3 c,c,c (ALA) (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Tryptophan (mg),Threonine (mg),Isoleucine (mg),Leucine (mg),Lysine (mg),Methionine (mg),Cystine (mg),Phenylalanine (mg),Tyrosine (mg),Valine (mg),Arginine (mg),Histidine (mg),Alanine (mg),Aspartic acid (mg),Glutamic acid (mg),Glycine (mg),Proline (mg),Serine (mg),Hydroxyproline (mg),Alcohol (g),Caffeine (mg),Theobromine (mg),Serving Weight 1 (g),Serving Description 1 (g),Serving Weight 2 (g),Serving Description 2 (g),Serving Weight 3 (g),Serving Description 3 (g),Serving Weight 4 (g),Serving Description 4 (g),Serving Weight 5 (g),Serving Description 5 (g),Serving Weight 6 (g),Serving Description 6 (g),Serving Weight 7 (g),Serving Description 7 (g),Serving Weight 8 (g),Serving Description 8 (g),Serving Weight 9 (g),Serving Description 9 (g),200 Calorie Weight (g)
168757,Hersheys Skor Toffee Bar,Sweets,541,30.37,3.13,63.73,59.89,1.3,53,18.78,30,0.57,153,10,204,61,0.5,0.21,0.1,0.58,NULL,62.43,1.57,75,1116,-0.091,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,317,0.17,0.04,0,0,0,NULL,NULL,0.02,0.1,0.13,0.04,0.022,NULL,2,0,2,2,3.1,NULL,61,0,2,0,7,NULL,0.1,3,8.6,NULL,NULL,9714,1191,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,10,111,39,1 bar 1.4 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,36.969
168758,Toppings Strawberry,Sweets,254,0.1,0.2,66.3,27.38,0.7,0,0.005,6,0.28,51,4,18,1,13.7,0,0,0.1,NULL,65.6,33,21,29,-0.976,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,21,0.06,0.032,0.167,0.8,NULL,NULL,NULL,0.011,0.024,0.161,0.048,0.012,NULL,6,0,6,6,9.8,NULL,0,9,0,0,9,NULL,NULL,0,0.7,NULL,NULL,14,50,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,42,2 tbsp,40,1 serving,340,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,78.74
168759,Mounds Candy Bar,Sweets,493,26.6,4.6,58.88,46.19,3.7,2,20.58,21,2.09,321,55,0,0,0.4,0,0,0.19,NULL,55.18,9.05,5,118,-2.872,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91,145,1.1,0.4,0.948,6.6,NULL,NULL,NULL,0.049,0.058,0.277,0.245,0.09,NULL,6,0,6,6,11.8,NULL,0,0,0,0,5,NULL,NULL,0,1.6,NULL,NULL,390,140,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,17,130,19,1 bar snack size,53,1 package 1.9 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,40.568
168760,Mr. Goodbar Chocolate Bar,Sweets,538,33.21,10.22,54.34,47.22,3.8,10,14.13,110,1.39,394,47,115,35,0.9,0.33,0,3.17,NULL,50.54,0.45,1,4365,0.059,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,163,41,0.93,0.17,0,0,NULL,NULL,NULL,0.14,0.14,3.44,0.42,0.07,NULL,38,0,38,38,47.4,NULL,35,0,0,0,5,NULL,NULL,0,3.6,NULL,NULL,8203,4366,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,18,198,49,1 bar (1.75 oz),73,1 bar (2.6 oz),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,37.175
168761,Nestle 100 Grand Bar,Sweets,468,19.33,2.5,70.97,51.9,1,12,11.9,76,0.34,163,25,127,38,0.7,0.29,0,0.42,NULL,69.97,6.1,129,1259,-0.678,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,203,0.99,0.185,0.172,2.5,NULL,NULL,NULL,0.058,0.119,0.198,0.182,0.016,NULL,5,0,5,5,24.6,NULL,37,3,0,0,2,NULL,NULL,0,6.2,NULL,NULL,6039,1388,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,8,55,43,1 bar (1.5 oz),21,"1 bar, miniature",43,1 serving 1.5 oz bar,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,42.735
168762,Nestle Crunch Bar And Dessert Topping,Sweets,500,26,5,67,55,1.9,13,16,100,0.7,305,NULL,107,NULL,0.5,NULL,NULL,NULL,NULL,65.1,0.65,NULL,NULL,NULL,0.137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,168,44,1 bar 1.55 oz,14.2,1 bar 0.5 oz,41,1 serving 4 fun size bars,24,2 tbsp,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,40
168763,Reeses Peanut Butter Cups,Sweets,515,30.53,10.24,55.36,47.17,3.6,6,10.73,78,1.21,343,62,56,17,0.3,0.26,0,0.15,NULL,51.76,1.44,23,5438,1.093,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,161,357,1.28,0.24,0,1.4,NULL,NULL,NULL,0.16,0.11,4.49,0.62,0.1,NULL,50,0,50,50,35.4,NULL,17,0,0,0,2,NULL,NULL,0,2,NULL,NULL,13100,5500,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,7,72,17,1 package 0.6 oz 1 cup,45,1 package 1.6 oz 2 cups,7,1 miniature,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,38.835
168764,Reeses Pieces Candy,Sweets,497,24.77,12.46,59.86,53.25,3,0,16.42,69,0.49,359,88,1,0,0,0.11,0,0.99,NULL,56.86,1,108,1768,2.978,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,207,194,1.15,0.41,1.1,0.8,NULL,NULL,NULL,0.18,0.22,6.06,0.61,0.11,NULL,55,0,55,55,28.7,NULL,0,0,0,0,0,NULL,NULL,0,5.9,NULL,NULL,4460,1880,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,47,1/4 cup,8,10 pieces,46,1 package 1.63 oz,46,1 package (1.6 oz),NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,40.241
168765,Rolo Caramels In Milk Chocolate,Sweets,474,20.93,5.08,67.95,63.93,0.9,12,14.542,145,0.42,188,0,111,33,0.9,0.33,0,1.1,NULL,67.05,4.6,30,235,-0.736,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,188,0,0,0,0,NULL,NULL,NULL,0.02,0.12,0.04,0,0,NULL,0,0,0,0,20.1,NULL,33,0,0,0,0,NULL,NULL,0,3.2,NULL,NULL,2104,265,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,6,52,48,1 package 1 package,42,7 pieces,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,42.194
168766,Nestle After Eight Mints,Sweets,432,11.9,1.67,79.53,66.6,2.4,0,8.33,13,0.57,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,77.13,6.3,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,1 serving 5 mints,8.4,1 piece,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,46.296
168767,Mars Snackfood Us 3 Musketeers Bar,Sweets,436,12.75,2.6,77.77,66.89,1.5,5,8.646,54,0.67,133,29,67,20,0.2,0.16,0,0.98,NULL,76.27,5.8,10,306,-0.444,0.129,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,194,0.55,0.155,0.16,1.9,NULL,NULL,NULL,0.034,0.056,0.23,0.231,0.015,NULL,4,0,4,4,12.2,NULL,20,0,0,0,1,NULL,NULL,0,2.9,NULL,NULL,2373,316,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,7,106,60,1 serving 2.13 oz bar,28,1 serving 2 fun size bars,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,45.872
168768,Mars Snackfood Us Twix Caramel Cookie Bars,Sweets,502,24.85,4.91,64.8,48.25,1.1,7,18.96,106,0.81,186,27,67,20,0.6,0.33,0,0.74,NULL,63.7,4.23,34,594,0.278,0.342,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,105,198,1.06,0.197,0.273,4.3,NULL,NULL,NULL,0.155,0.208,1.109,0.265,0.025,NULL,26,18,9,39,20.9,NULL,20,0,0,0,5,NULL,NULL,0,5.6,NULL,NULL,2988,628,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,7,70,57,1 package (2 oz),58,"1 package (2.06 oz, 2 bars)",95,"1 package, king size (3.35 oz, 4 bars)",312,1 package (11 oz),NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,39.841
168769,Mars Snackfood Us Twix Peanut Butter Cookie Bars,Sweets,547,32.67,9.18,54.14,36.13,3.1,6,15.758,75,1.32,264,61,68,20,0.3,0.26,0,3.42,NULL,51.04,1.82,55,3351,2.75,0.505,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,173,226,1.61,0.29,0.942,12.9,NULL,NULL,NULL,0.098,0.145,2.379,0.468,0.114,NULL,15,0,15,15,29.4,NULL,20,1,0,0,31,NULL,NULL,0,6,NULL,NULL,12317,3407,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,7,70,54,"1 package (1.89 oz, 2 bars)",58,"1 package (2.06 oz, 2 bars)",50,1 package (1.77 oz),267,1 package (9.43 oz),NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,36.563
168770,Whatchamacallit Candy Bar,Sweets,494,23.68,8.04,63.23,48.86,1.9,12,17.04,118,1.13,303,28,126,37,0.9,0.37,0,1.27,NULL,61.33,3.04,27,761,0.382,0.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,138,299,0.43,0.12,0.33,0.7,NULL,NULL,NULL,0.11,0.21,2.47,0.26,0.04,NULL,18,0,18,18,25,NULL,37,1,0,0,0,NULL,NULL,0,4.3,NULL,NULL,3780,830,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,10,100,48,1 bar 1.7 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,40.486
168771,Chewing Gum,Sweets,360,0.3,0,96.7,66.08,2.4,0,0.042,0,0,2,0,0,0,0,0,0,0,NULL,94.3,2.6,4,133,-0.042,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,0,0,0.6,5,NULL,NULL,0,0,0,0,0,NULL,0,0,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0,NULL,NULL,79,137,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,3,1 stick,16,10 chiclets,8,1 block,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,55.556
168772,Egg Custards Dry Mix,Sweets,410,6.4,6.9,82.8,NULL,0,258,2.03,228,1.93,540,45,217,63,0.4,1.17,NULL,NULL,NULL,82.8,1.7,20,710,0.124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,332,281,1.05,0.046,0.02,16.6,NULL,NULL,NULL,0.145,0.412,0.32,2.238,0.216,NULL,30,0,30,30,NULL,NULL,63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2400,850,NULL,0,0,20,94,401,368,623,553,153,130,261,257,381,361,156,341,681,1031,185,351,475,NULL,0,NULL,NULL,85,1 package (3 oz),21,"1 portion, amount to make 1/2 cup",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,48.78
168773,Egg Custards Dry Mix Prepared With Whole Milk,Sweets,122,4,3.99,17.6,4.82,0,51,2.032,139,0.34,207,16,182,52,0.1,0.52,1.2,0.06,NULL,17.6,73.45,3,223,0.17,NULL,NULL,NULL,0,0,0,4.63,0,0,NULL,NULL,130,84,0.51,0.03,0.007,6,NULL,NULL,NULL,0.061,0.22,0.132,0.699,0.064,NULL,9,0,9,9,11.8,0.6,52,6,0,0,0,NULL,1.2,47,0.2,0,0.9,1127,312,NULL,0,0,3,82,192,207,337,214,91,36,173,177,233,125,92,146,321,745,97,362,171,NULL,0,0,0,141,1/2 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,163.934
168774,Cocoa Dry Powder Unsweetened Hersheys European Style Cocoa,Sweets,410,10,20,60,0,20,0,0,0,36,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,40,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,1 tbsp,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,48.78
168775,Gelatin Desserts Dry Mix,Sweets,381,0,7.8,90.5,86.04,0,0,0,3,0.13,7,2,0,0,0,0,0,0,NULL,90.5,1,0,0,8.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,141,466,0.01,0.118,0.011,6.7,NULL,NULL,NULL,0.003,0.041,0.009,0.014,0.001,NULL,3,0,3,3,3.5,NULL,0,0,0,0,0,NULL,NULL,0,0,NULL,NULL,0,0,NULL,0,0,0,0,151,118,251,354,62,0,177,31,213,676,68,818,538,894,1947,1256,266,NULL,0,0,0,85,1 package (3 oz),21,"1 portion, amount to make 1/2 cup",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,52.493
168776,York Bites,Sweets,394,7.32,1.78,81.64,75,2,1,4.43,10,0.94,108,1,7,NULL,0,NULL,NULL,NULL,NULL,79.64,9.09,NULL,NULL,-1.452,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,46,0.01,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,480,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,39,15 pieces,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,50.761
168777,Chocolate Mousse,Sweets,225,16,4.14,16.07,14.81,0.6,140,9.151,96,0.55,143,20,509,140,0.1,0.47,NULL,0.51,NULL,15.47,62.94,11,656,1.566,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,117,38,0.64,0.075,0.059,7.4,NULL,NULL,NULL,0.045,0.205,0.146,0.533,0.058,NULL,15,0,15,15,NULL,NULL,138,27,3,0,94,NULL,NULL,NULL,1.6,NULL,NULL,5027,879,NULL,1,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,7,45,808,1 recipe yield,202,1/2 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,88.889
168778,Puddings Chocolate Ready-To-Eat,Sweets,142,4.6,2.09,23.01,17.17,0,1,1.263,51,1.27,184,18,46,14,0.3,0.09,0,0.31,NULL,23.01,69.46,2,103,-1.923,NULL,NULL,NULL,15.47,0,0,1.7,0,0,NULL,NULL,56,152,0.34,0.092,0.118,0,NULL,NULL,NULL,0.024,0.072,0.123,0.244,0.018,NULL,3,0,3,3,9.5,0.9,14,0,0,0,1,NULL,0,0,0.6,NULL,NULL,2731,105,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,70,28.4,1 oz,108,"1 container refrigerated, 4 oz",98,"1 container shelf stable, 3.5 oz",NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,140.845
168779,Puddings Chocolate Dry Mix Instant,Sweets,378,1.9,2.3,87.9,67.86,3.6,0,0.825,12,1.29,236,45,0,0,0,0,0,0.07,NULL,84.3,3.2,34,314,-2.528,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,1771,0.62,0.354,0.367,2.5,NULL,NULL,NULL,0.01,0.055,0.234,0.025,0.012,NULL,3,0,3,3,3.4,NULL,0,0,0,0,4,NULL,NULL,0,1.5,NULL,NULL,487,348,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,7,245,99,1 package (3.5 oz),25,"1 portion, amount to make 1/2 cup",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,52.91
168780,Puddings Chocolate Dry Mix Regular Prepared With 2% Milk,Sweets,111,2.06,3.28,19.76,11.85,0.8,7,1.289,112,0.34,156,21,163,47,0.1,0.37,1,0.03,NULL,18.96,73.94,7,67,-0.215,0.073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94,102,0.57,0.095,0.106,2.7,2.9,NULL,NULL,0.033,0.171,0.136,0.31,0.032,NULL,4,0,4,4,12.9,0.8,47,3,0,0,1,NULL,1,42,0.2,0,NULL,602,76,NULL,0,0,0,35,88,156,283,199,71,92,139,131,186,92,62,95,256,667,52,315,170,0,0,2,63,128,1/2 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,180.18
168781,Puddings Coconut Cream Dry Mix Instant Prepared With 2% Milk,Sweets,107,2.3,2.9,19.2,NULL,0.1,6,1.37,102,0.15,132,14,150,45,0.8,0.3,NULL,NULL,NULL,19.1,74.4,30,160,4.379,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,201,246,0.33,0.025,0.019,2,NULL,NULL,NULL,0.034,0.138,0.086,0.271,0.038,NULL,4,0,4,4,NULL,NULL,45,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,620,190,NULL,NULL,NULL,NULL,38,124,165,269,216,69,27,134,132,185,115,75,98,213,583,62,262,150,NULL,NULL,0,0,147,1/2 cup,587,1 package yield (2 cups),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,186.916
168782,Puddings Rice Ready-To-Eat,Sweets,108,2.15,3.23,18.39,11.59,0.3,12,1.208,95,0.11,125,8,69,19,1.3,0.15,0,0.07,NULL,18.09,75.15,8,125,0.534,0.054,NULL,NULL,8.07,0.09,0,3.43,0,0,7.43,NULL,82,97,0.43,0.023,0.077,3.2,0.1,NULL,NULL,0.027,0.183,0.217,0.54,0.052,NULL,4,0,4,4,7.8,NULL,19,4,0,0,9,NULL,NULL,0,0.2,NULL,NULL,556,129,8,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3,0,0,113,1 serving 4 oz pudding cup,28.4,1 oz,142,1 can (5 oz),172,1 cup,92,1/2 cup,NULL,,NULL,,NULL,NULL,NULL,NULL,185.185
168783,Puddings Rice Dry Mix,Sweets,376,0.1,2.7,91.2,NULL,0.7,0,NULL,14,1.79,5,8,0,0,0,0,NULL,NULL,NULL,90.5,4.8,NULL,NULL,2.268,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,366,0.31,0.062,0.3,0.5,NULL,NULL,NULL,0.248,0.012,2.013,0.108,0.013,NULL,1,0,1,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,106,1 package,27,"1 portion, amount to make 1/2 cup",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,53.191
168784,Puddings Vanilla Dry Mix Instant,Sweets,377,0.6,0,92.9,92.9,0,0,0.432,12,0.01,12,1,2,1,0,0.02,0,0.02,NULL,92.9,2.6,1,9,25.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,705,1400,0.06,0.093,0,0.7,NULL,NULL,NULL,0.002,0.028,0.006,0.026,0.002,NULL,0,0,0,0,1.1,NULL,1,0,0,0,0,NULL,NULL,0,0.1,NULL,NULL,120,10,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,99,1 package (3.5 oz),25,"1 portion, amount to make 1/2 cup",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,53.05
168785,Puddings Vanilla Dry Mix Instant Prepared With Whole Milk,Sweets,114,2.9,2.7,19.7,18.03,0,11,1.74,101,0.07,128,12,105,25,0.8,0.3,NULL,NULL,NULL,19.7,73.5,50,100,4.283,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,197,286,0.33,0.024,0.007,1.6,22,NULL,NULL,0.033,0.136,0.074,0.262,0.036,NULL,4,0,4,4,NULL,NULL,23,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,840,150,NULL,0,0,0,36,117,158,255,207,65,24,126,126,174,94,71,90,198,545,55,252,141,NULL,0,0,0,142,1/2 cup,569,1 package yield (2 cups),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,175.439
